Listing Position,Title,Brand,MRP,Price,Average Rating Score,Count of Ratings,Count of Reviews,Product URL,Image_url
206,LG evo G4 165.1 cm (65 inch) OLED 4K Ultra HD WebOS TV with Dolby Atmos (2024 model),Lg,419990.0,264990.0,0.0,0,0,https://www.croma.com/lg-evo-g4-165-1-cm-65-inch-oled-4k-ultra-hd-webos-tv-with-dolby-atmos-2024-model-/p/307485,https://media.croma.com/image/upload/v1720714845/Croma%20Assets/Entertainment/Television/Images/307485_ncor68.png
207,TCL P635 Pro 108 cm (43 inch) 4K Ultra HD LED Google TV with Dolby Audio (2023 model),Tcl,54990.0,32990.0,2.0,3,3,https://www.croma.com/tcl-p635-pro-108-cm-43-inch-4k-ultra-hd-led-google-tv-with-dolby-audio-2023-model-/p/272121,https://media.croma.com/image/upload/v1722276021/Croma%20Assets/Entertainment/Television/Images/272121_0_v4zfmd.png
208,SAMSUNG QE1D 138 cm (55 inch) QLED 4K Ultra HD Tizen TV with 4K Upscaling (2024 model),Samsung,89990.0,79999.0,0.0,0,0,https://www.croma.com/samsung-qe1d-138-cm-55-inch-qled-4k-ultra-hd-tizen-tv-with-4k-upscaling-2024-model-/p/308215,https://media.croma.com/image/upload/v1722240229/Croma%20Assets/Entertainment/Television/Images/308215_0_wrrimf.png
209,LG QNED88T 190.5 cm (75 inch) 4K Ultra HD QNED WebOS TV with Dolby Vision and Dolby Atmos (2024 model),Lg,299990.0,175990.0,0.0,0,0,https://www.croma.com/lg-qned88t-190-5-cm-75-inch-4k-ultra-hd-qned-webos-tv-with-dolby-vision-and-dolby-atmos-2024-model-/p/307484,https://media.croma.com/image/upload/v1717771861/Croma%20Assets/Entertainment/Television/Images/307484_zemr8n.png
210,KODAK 43MT5055 108 cm (43 inch) QLED 4K Ultra HD Google TV with Dolby Vision and Dolby Atmos (2023 model),Kodak,31999.0,20999.0,3.2857142857,7,5,https://www.croma.com/kodak-43mt5055-108-cm-43-inch-qled-4k-ultra-hd-google-tv-with-dolby-vision-and-dolby-atmos-2023-model-/p/303373,https://media.croma.com/image/upload/v1722275919/Croma%20Assets/Entertainment/Television/Images/303373_0_fgoyhf.png
211,SAMSUNG LS Frame Series 138 cm (55 inch) QLED 4K Ultra HD Tizen TV with Alexa Compatibility,Samsung,144900.0,81999.0,4.6111111111,18,18,https://www.croma.com/samsung-ls-frame-series-138-cm-55-inch-qled-4k-ultra-hd-tizen-tv-with-alexa-compatibility/p/251981,https://media.croma.com/image/upload/v1722286760/Croma%20Assets/Entertainment/Television/Images/251981_0_mk3nn9.png
212,Hisense E7K 108 cm (43 inch) QLED 4K Ultra HD VIDAA TV with Dolby Vision and Dolby Atmos (2023 model),Hisense,46999.0,26999.0,0.0,0,0,https://www.croma.com/hisense-e7k-108-cm-43-inch-qled-4k-ultra-hd-vidaa-tv-with-dolby-vision-and-dolby-atmos-2023-model-/p/305421,https://media.croma.com/image/upload/v1722277400/Croma%20Assets/Entertainment/Television/Images/305421_0_wpuudu.png
213,Hisense U7N 139.7 cm (55 inch) Mini QLED 4K Ultra HD VIDAA TV with Dolby Vision and Dolby Atmos (2024 model),Hisense,109999.0,69999.0,0.0,0,0,https://www.croma.com/hisense-u7n-139-7-cm-55-inch-mini-qled-4k-ultra-hd-vidaa-tv-with-dolby-vision-and-dolby-atmos-2024-model-/p/307976,https://media.croma.com/image/upload/v1719645536/Croma%20Assets/Entertainment/Television/Images/307976_o8dpxp.png
214,SAMSUNG Crystal 4K Pro 125 cm (50 inch) 4K Ultra HD LED Tizen TV with Alexa Compatibility (2021 model),Samsung,71400.0,35990.0,3.0,1,1,https://www.croma.com/samsung-crystal-4k-pro-125-cm-50-inch-4k-ultra-hd-led-tizen-tv-with-alexa-compatibility-2021-model-/p/250633,https://media.croma.com/image/upload/v1722287899/Croma%20Assets/Entertainment/Television/Images/250633_0_rgwt4r.png
215,KODAK 7XPRO Series 108 cm (43 inch) 4K Ultra HD LED Android TV with Google Assistant (2021 model),Kodak,33999.0,19490.0,2.6923076923,13,12,https://www.croma.com/kodak-7xpro-series-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2021-model-/p/259829,https://media.croma.com/image/upload/v1722282336/Croma%20Assets/Entertainment/Television/Images/259829_0_no6lym.png
216,SAMSUNG 8 Series 138 cm (55 inch) 4K Ultra HD LED Tizen TV with Dynamic Crystal Color,Samsung,85900.0,67494.0,0.0,0,0,https://www.croma.com/samsung-8-series-138-cm-55-inch-4k-ultra-hd-led-tizen-tv-with-dynamic-crystal-color/p/271663,https://media.croma.com/image/upload/v1702664768/Croma%20Assets/Entertainment/Television/Images/271663_0_h2darx.png
217,acer Advanced I Series 164 cm (65 inch) 4K Ultra HD LED Google TV with Dolby Vision and Dolby Audio (2023 model),Acer,78990.0,45999.0,0.0,0,0,https://www.croma.com/acer-advanced-i-series-164-cm-65-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-and-dolby-audio-2023-model-/p/301224,https://media.croma.com/image/upload/v1722280123/Croma%20Assets/Entertainment/Television/Images/301224_0_v10wvr.png
218,SAMSUNG Series 7 189 cm (75 inch) 4K Ultra HD LED Tizen TV with Crystal Processor (2023 model),Samsung,182900.0,108990.0,0.0,0,0,https://www.croma.com/samsung-series-7-189-cm-75-inch-4k-ultra-hd-led-tizen-tv-with-crystal-processor-2023-model-/p/272284,https://media.croma.com/image/upload/v1722278744/Croma%20Assets/Entertainment/Television/Images/272284_0_ohjpbl.png
219,TCL P71B Pro 189 cm (75 inch) 4K Ultra HD QLED Google TV with Dolby Vision & Dolby Atmos( 2024 Model),Tcl,258990.0,69990.0,0.0,0,0,https://www.croma.com/tcl-p71b-pro-189-cm-75-inch-4k-ultra-hd-qled-google-tv-with-dolby-vision-dolby-atmos-2024-model-/p/308007,https://media.croma.com/image/upload/v1719653994/Croma%20Assets/Entertainment/Television/Images/308007_ytvweq.png
220,SANSUI 109 cm (43 inch) 4K Ultra HD LED Android TV with Dolby Atmos (2022 model),Sansui,38990.0,25990.0,0.0,0,0,https://www.croma.com/sansui-109-cm-43-inch-4k-ultra-hd-led-android-tv-with-dolby-atmos-2022-model-/p/267413,https://media.croma.com/image/upload/v1722282909/Croma%20Assets/Entertainment/Television/Images/267413_0_usbldl.png
221,LG UR80 164 cm (65 inch) 4K Ultra HD LED WebOS TV with AI Processor 4K Gen6 (2023 model),Lg,124990.0,81990.0,0.0,0,0,https://www.croma.com/lg-ur80-164-cm-65-inch-4k-ultra-hd-led-webos-tv-with-ai-processor-4k-gen6-2023-model-/p/273716,https://media.croma.com/image/upload/v1689334221/Croma%20Assets/Entertainment/Television/Images/273716_0_ypqpl9.png
222,SONY X82L Series 189 cm (75 inch) 4K Ultra HD LED Google TV with Live Colour Technology (2023 model),Sony,269900.0,142490.0,0.0,0,0,https://www.croma.com/sony-x82l-series-189-cm-75-inch-4k-ultra-hd-led-google-tv-with-live-colour-technology-2023-model-/p/273821,https://media.croma.com/image/upload/v1722285696/Croma%20Assets/Entertainment/Television/Images/273821_0_gb1yrk.png
223,TOSHIBA C350MP 189 cm (75 inch) 4K Ultra HD LED Google TV with Regza Engine 4K,Toshiba,114990.0,79999.0,0.0,0,0,https://www.croma.com/toshiba-c350mp-189-cm-75-inch-4k-ultra-hd-led-google-tv-with-regza-engine-4k/p/306061,https://media.croma.com/image/upload/v1712646105/Croma%20Assets/Entertainment/Television/Images/306061_j9qn04.png
224,SONY X75L 126 cm (50 inch) 4K Ultra HD LED Google TV with X-Reality PRO (2023 model),Sony,85900.0,54490.0,0.0,0,0,https://www.croma.com/sony-x75l-126-cm-50-inch-4k-ultra-hd-led-google-tv-with-x-reality-pro-2023-model-/p/272255,https://media.croma.com/image/upload/v1722275499/Croma%20Assets/Entertainment/Television/Images/272255_0_g1vcld.png
225,LG G2 245 cm (97 inch) OLED 4K Ultra HD WebOS TV with Dolby Vision and Dolby Atmos (2022 model),Lg,2499990.0,1619990.0,0.0,0,0,https://www.croma.com/lg-g2-245-cm-97-inch-oled-4k-ultra-hd-webos-tv-with-dolby-vision-and-dolby-atmos-2022-model-/p/271200,https://media.croma.com/image/upload/v1704794588/Croma%20Assets/Entertainment/Television/Images/271200_0_aoipcq.png
226,TCL P745 216 cm (85 inch) 4K Ultra HD LED Google TV with Dolby Vision and Dolby Atmos (2023 model),Tcl,499990.0,129990.0,0.0,0,0,https://www.croma.com/tcl-p745-216-cm-85-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-and-dolby-atmos-2023-model-/p/300068,https://media.croma.com/image/upload/v1722278146/Croma%20Assets/Entertainment/Television/Images/300068_0_cypn4i.png
